"Zone Name",Projector,"Server Mode","DMX Universe","DMX Address","Vis Fixture"
"LM 1",1,4,1,1,1
"LM 2",2,4,1,51,2
"LM 3",3,4,1,101,3
"LM 4",4,4,1,151,4
"LM 5",5,4,1,201,5
"LM 6",6,4,1,251,6
"LM 7",7,4,1,301,7
"LM 8",8,4,1,351,8
"LM 9",9,4,1,401,9
"LM 10",10,4,1,451,10
"LM 11",11,4,1,501,11
"LM 12",12,4,1,551,12
"LM 13",13,4,1,601,13
"LM 14",14,4,1,651,14
"LM 15",15,4,1,701,15
"LM 16",16,4,1,751,16
"LM 17",17,4,1,801,17
"LM 18",18,4,1,851,18
"LM 19",19,4,1,901,19
"LM 20",20,4,1,951,20
"LM 21",21,4,1,1001,21
"LM 22",22,4,1,1051,22
